Book-Title,Book-Author,ISBN,Year-Of-Publication,Image-URL-S,num_ratings,avg_rating
Clara Callan,Richard Bruce Wright,0002005018,2001,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg,14.0,4.928571428571429
Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,0374157065,1999,http://images.amazon.com/images/P/0374157065.01.THUMBZZZ.jpg,11.0,4.2727272727272725
The Kitchen God's Wife,Amy Tan,0399135782,1991,http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg,33.0,4.212121212121212
A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1558746218,1998,http://images.amazon.com/images/P/1558746218.01.THUMBZZZ.jpg,8.0,3.375
The Testament,John Grisham,0440234743,1999,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,422.0,3.085308056872038
Beloved (Plume Contemporary Fiction),Toni Morrison,0452264464,1994,http://images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg,180.0,3.411111111111111
Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,0609804618,1999,http://images.amazon.com/images/P/0609804618.01.THUMBZZZ.jpg,19.0,5.684210526315789
New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,1841721522,2001,http://images.amazon.com/images/P/1841721522.01.THUMBZZZ.jpg,37.0,2.0
Wild Animus,Rich Shapero,0971880107,2004,http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg,2502.0,1.0195843325339728
Airframe,Michael Crichton,0345402871,1997,http://images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg,207.0,2.845410628019324
Timeline,MICHAEL CRICHTON,0345417623,2000,http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg,407.0,3.7616707616707616
OUT OF THE SILENT PLANET,C.S. Lewis,0684823802,1996,http://images.amazon.com/images/P/0684823802.01.THUMBZZZ.jpg,10.0,2.5
Prague : A Novel,ARTHUR PHILLIPS,0375759778,2003,http://images.amazon.com/images/P/0375759778.01.THUMBZZZ.jpg,27.0,3.4074074074074074
Chocolate Jesus,Stephan Jaramillo,0425163091,1998,http://images.amazon.com/images/P/0425163091.01.THUMBZZZ.jpg,9.0,2.5555555555555554
Lying Awake,Mark Salzman,0375406328,2000,http://images.amazon.com/images/P/0375406328.01.THUMBZZZ.jpg,17.0,3.2941176470588234
To Kill a Mockingbird,Harper Lee,0446310786,1988,http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg,389.0,4.920308483290489
Seabiscuit: An American Legend,LAURA HILLENBRAND,0449005615,2002,http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg,246.0,4.138211382113822
Pigs in Heaven,Barbara Kingsolver,0060168013,1993,http://images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg,55.0,3.709090909090909
Miss Zukas and the Raven's Dance,Jo Dereske,038078243X,1996,http://images.amazon.com/images/P/038078243X.01.THUMBZZZ.jpg,9.0,1.4444444444444444
Downtown,Anne Rivers Siddons,0061099686,1995,http://images.amazon.com/images/P/0061099686.01.THUMBZZZ.jpg,38.0,1.4473684210526316
Icebound,Dean R. Koontz,0553582909,2000,http://images.amazon.com/images/P/0553582909.01.THUMBZZZ.jpg,27.0,3.2222222222222223
I'll Be Seeing You,Mary Higgins Clark,0671888587,1994,http://images.amazon.com/images/P/0671888587.01.THUMBZZZ.jpg,140.0,1.9428571428571428
From the Corner of His Eye,Dean Koontz,0553582747,2001,http://images.amazon.com/images/P/0553582747.01.THUMBZZZ.jpg,165.0,3.4909090909090907
Isle of Dogs,Patricia Cornwell,0425182908,2002,http://images.amazon.com/images/P/0425182908.01.THUMBZZZ.jpg,203.0,1.8669950738916257
Purity in Death,J.D. Robb,042518630X,2002,http://images.amazon.com/images/P/042518630X.01.THUMBZZZ.jpg,106.0,2.3207547169811322
This Year It Will Be Different: And Other Stories,Maeve Binchy,0440223571,1997,http://images.amazon.com/images/P/0440223571.01.THUMBZZZ.jpg,59.0,2.4237288135593222
Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,0842342702,2000,http://images.amazon.com/images/P/0842342702.01.THUMBZZZ.jpg,129.0,2.883720930232558
The Street Lawyer,JOHN GRISHAM,0440225701,1999,http://images.amazon.com/images/P/0440225701.01.THUMBZZZ.jpg,379.0,2.6754617414248023
"Love, Medicine and Miracles",M.D. Bernie S. Siegel,0060914068,1988,http://images.amazon.com/images/P/0060914068.01.THUMBZZZ.jpg,10.0,3.3
All the King's Men,Robert Penn Warren,0156047624,1982,http://images.amazon.com/images/P/0156047624.01.THUMBZZZ.jpg,9.0,3.2222222222222223
A Soldier of the Great War,Mark Helprin,0380715899,1992,http://images.amazon.com/images/P/0380715899.01.THUMBZZZ.jpg,21.0,2.761904761904762
LONESOME DOVE,Larry McMurtry,0671623249,1986,http://images.amazon.com/images/P/0671623249.01.THUMBZZZ.jpg,53.0,3.830188679245283
Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,0679810307,1991,http://images.amazon.com/images/P/0679810307.01.THUMBZZZ.jpg,17.0,2.6470588235294117
Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,0679865691,1995,http://images.amazon.com/images/P/0679865691.01.THUMBZZZ.jpg,8.0,3.5
The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,0345260317,1978,http://images.amazon.com/images/P/0345260317.01.THUMBZZZ.jpg,15.0,1.1333333333333333
Breathing Lessons,Anne Tyler,042511774X,1994,http://images.amazon.com/images/P/042511774X.01.THUMBZZZ.jpg,170.0,1.8705882352941177
The Joy Luck Club,Amy Tan,0804106304,1994,http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg,519.0,3.0635838150289016
Heart of Darkness (Wordsworth Collection),Joseph Conrad,1853262404,1998,http://images.amazon.com/images/P/1853262404.01.THUMBZZZ.jpg,13.0,1.0769230769230769
Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1853260053,1997,http://images.amazon.com/images/P/1853260053.01.THUMBZZZ.jpg,29.0,2.689655172413793
The Accidental Virgin,Valerie Frankel,0060938412,2003,http://images.amazon.com/images/P/0060938412.01.THUMBZZZ.jpg,16.0,3.5625
The Tao of Pooh,Benjamin Hoff,0140067477,1983,http://images.amazon.com/images/P/0140067477.01.THUMBZZZ.jpg,189.0,4.296296296296297
Seabiscuit,LAURA HILLENBRAND,0345465083,2003,http://images.amazon.com/images/P/0345465083.01.THUMBZZZ.jpg,187.0,2.732620320855615
Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1558531025,1991,http://images.amazon.com/images/P/1558531025.01.THUMBZZZ.jpg,89.0,3.651685393258427
Starship Troopers,Robert A. Heinlein,0441783589,1987,http://images.amazon.com/images/P/0441783589.01.THUMBZZZ.jpg,79.0,3.151898734177215
"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,0394895894,1988,http://images.amazon.com/images/P/0394895894.01.THUMBZZZ.jpg,43.0,2.4186046511627906
Anil's Ghost,MICHAEL ONDAATJE,0375410538,2000,http://images.amazon.com/images/P/0375410538.01.THUMBZZZ.jpg,29.0,2.7586206896551726
Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,087113375X,1990,http://images.amazon.com/images/P/087113375X.01.THUMBZZZ.jpg,10.0,5.0
Turning Thirty,Mike Gayle,0340767936,2000,http://images.amazon.com/images/P/0340767936.01.THUMBZZZ.jpg,12.0,3.4166666666666665
Standing Firm: A Vice-Presidential Memoir,Dan Quayle,0060177586,1994,http://images.amazon.com/images/P/0060177586.01.THUMBZZZ.jpg,8.0,0.0
The Catcher in the Rye,J.D. Salinger,0316769487,1991,http://images.amazon.com/images/P/0316769487.01.THUMBZZZ.jpg,403.0,4.635235732009925
El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,8445071408,2001,http://images.amazon.com/images/P/8445071408.01.THUMBZZZ.jpg,16.0,6.5625
El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,8445071769,2001,http://images.amazon.com/images/P/8445071769.01.THUMBZZZ.jpg,10.0,6.0
"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,8445071777,2001,http://images.amazon.com/images/P/8445071777.01.THUMBZZZ.jpg,10.0,6.5
Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,0679429220,1994,http://images.amazon.com/images/P/0679429220.01.THUMBZZZ.jpg,264.0,3.159090909090909
Pretend You Don't See Her,Mary Higgins Clark,0671867156,1998,http://images.amazon.com/images/P/0671867156.01.THUMBZZZ.jpg,173.0,2.5838150289017343
Fast Women,Jennifer Crusie,0312252617,2001,http://images.amazon.com/images/P/0312252617.01.THUMBZZZ.jpg,18.0,3.7777777777777777
Female Intelligence,Jane Heller,0312261594,2001,http://images.amazon.com/images/P/0312261594.01.THUMBZZZ.jpg,25.0,3.68
Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,0316748641,2002,http://images.amazon.com/images/P/0316748641.01.THUMBZZZ.jpg,14.0,3.0
"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,0446677450,2000,http://images.amazon.com/images/P/0446677450.01.THUMBZZZ.jpg,64.0,5.359375
The Pillars of the Earth,Ken Follett,0451166892,1996,http://images.amazon.com/images/P/0451166892.01.THUMBZZZ.jpg,228.0,3.2017543859649122
Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,067976397X,1995,http://images.amazon.com/images/P/067976397X.01.THUMBZZZ.jpg,118.0,2.3135593220338984
The Five People You Meet in Heaven,Mitch Albom,0786868716,2003,http://images.amazon.com/images/P/0786868716.01.THUMBZZZ.jpg,427.0,4.543325526932084
Relics (Star Trek: The Next Generation),Michael Jan Friedman,0671864769,1992,http://images.amazon.com/images/P/0671864769.01.THUMBZZZ.jpg,19.0,2.1052631578947367
Blood Oath,David Morrell,0312953453,1994,http://images.amazon.com/images/P/0312953453.01.THUMBZZZ.jpg,11.0,2.5454545454545454
The Alibi,Sandra Brown,0446608653,2000,http://images.amazon.com/images/P/0446608653.01.THUMBZZZ.jpg,80.0,1.975
The Beach House,James Patterson,0446612545,2003,http://images.amazon.com/images/P/0446612545.01.THUMBZZZ.jpg,263.0,3.098859315589354
A Kiss Remembered,Sandra Brown,0446612618,2003,http://images.amazon.com/images/P/0446612618.01.THUMBZZZ.jpg,23.0,2.9565217391304346
The Short Forever,Stuart Woods,0451208080,2003,http://images.amazon.com/images/P/0451208080.01.THUMBZZZ.jpg,37.0,3.135135135135135
Dead Aim,IRIS JOHANSEN,0553584383,2004,http://images.amazon.com/images/P/0553584383.01.THUMBZZZ.jpg,55.0,3.109090909090909
Angels &amp; Demons,Dan Brown,0671027360,2001,http://images.amazon.com/images/P/0671027360.01.THUMBZZZ.jpg,586.0,3.718430034129693
The Deal,Joe Hutsko,0812575954,2000,http://images.amazon.com/images/P/0812575954.01.THUMBZZZ.jpg,8.0,3.125
All He Ever Wanted: A Novel,Anita Shreve,0316735736,2004,http://images.amazon.com/images/P/0316735736.01.THUMBZZZ.jpg,32.0,3.96875
"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,0743439740,2002,http://images.amazon.com/images/P/0743439740.01.THUMBZZZ.jpg,94.0,2.893617021276596
The Mosquito Coast,Paul Theroux,0380619458,1990,http://images.amazon.com/images/P/0380619458.01.THUMBZZZ.jpg,54.0,2.1666666666666665
The Girl Who Loved Tom Gordon,Stephen King,0671042858,2000,http://images.amazon.com/images/P/0671042858.01.THUMBZZZ.jpg,214.0,3.135514018691589
Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,0743249992,2003,http://images.amazon.com/images/P/0743249992.01.THUMBZZZ.jpg,15.0,4.0
The Sum of All Fears,Tom Clancy,0425184226,2002,http://images.amazon.com/images/P/0425184226.01.THUMBZZZ.jpg,121.0,2.2644628099173554
Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,0375500766,1999,http://images.amazon.com/images/P/0375500766.01.THUMBZZZ.jpg,13.0,2.923076923076923
O Deus Das Pequenas Coisas,Roy,9724119378,1998,http://images.amazon.com/images/P/9724119378.01.THUMBZZZ.jpg,10.0,2.3
One Hundred Years of Solitude,Gabriel Garcia Marquez,0060929790,1998,http://images.amazon.com/images/P/0060929790.01.THUMBZZZ.jpg,82.0,4.121951219512195
Little Altars Everywhere: A Novel,Rebecca Wells,0060976845,1996,http://images.amazon.com/images/P/0060976845.01.THUMBZZZ.jpg,434.0,3.2557603686635943
Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,0061099325,1992,http://images.amazon.com/images/P/0061099325.01.THUMBZZZ.jpg,71.0,2.3380281690140845
Before I Say Good-Bye,Mary Higgins Clark,0671004573,2001,http://images.amazon.com/images/P/0671004573.01.THUMBZZZ.jpg,176.0,2.5
Slow Waltz in Cedar Bend,Robert James Waller,0446601640,1994,http://images.amazon.com/images/P/0446601640.01.THUMBZZZ.jpg,78.0,1.6025641025641026
Atonement : A Novel,IAN MCEWAN,038572179X,2003,http://images.amazon.com/images/P/038572179X.01.THUMBZZZ.jpg,178.0,2.7865168539325844
Gangster,Lorenzo Carcaterra,0345425294,2002,http://images.amazon.com/images/P/0345425294.01.THUMBZZZ.jpg,18.0,1.4444444444444444
Hush,Anne Frasier,0451410319,2002,http://images.amazon.com/images/P/0451410319.01.THUMBZZZ.jpg,42.0,3.0952380952380953
"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,0553583468,2002,http://images.amazon.com/images/P/0553583468.01.THUMBZZZ.jpg,91.0,2.956043956043956
Rebecca,Daphne Du Maurier,0380778556,1994,http://images.amazon.com/images/P/0380778556.01.THUMBZZZ.jpg,85.0,3.847058823529412
Scarlet Letter,Nathaniel Hawthorne,0451525221,1993,http://images.amazon.com/images/P/0451525221.01.THUMBZZZ.jpg,25.0,2.76
Diary of a Mad Mom-To-Be,Laura Wolf,0385336772,2003,http://images.amazon.com/images/P/0385336772.01.THUMBZZZ.jpg,30.0,3.566666666666667
